title,team,replicator_team,computational_reproduction,perfect_reproduction,not_perfect_reproduction,comments
Ideological Asymmetries and the Determinants of Politically Motivated Reasoning,First,40,1,Yes,0,Perfect Reproduction
Immigration and Redistribution,First,41,1,Yes,0,Perfect Reproduction
Indecent Disclosures: Anticorruption Reforms and Political Selection,First,42,1,Yes,0,0
Inflammatory Political Campaigns and Racial Bias in Policing,First,43,1,Yes,,Perfect Reproduction
"Interaction, Stereotypes, and Performance: Evidence from South Africa",First,44,1,Yes,0,Perfect Reproduction
Interventions and Cognitive Spillovers,First,45,1,No,1,A minor difference in the 0.001 rounding of decimals for coefficients
Jumping the Gun: How Dictators Got Ahead of Their Subjects,First,46,1,No,1,"""[S]ome minor inconsistency in relative file paths."""
Liquidity Constraints in the US Housing Market,First,47,1,No,1,Unable to reproduce Figure 1. The replicators had no code for Figure 2. The replicators tried to perform robustness checks on the data. They recalibrated the moments of the distribution conforming to different parts of the wealth distribution. The model converged to the same parameters as the original authors model.
Local Elites as State Capacity: How City Chiefs Use Local Information to Increase Tax Compliance in the Democratic Republic of the Congo,First,48,1,No,1,"Additional Stata packages needed to be downloaded (cibar, binscatter, ranktest). Applying Stata labels produced minor errors. Opposite sign on one coefficient estimates (Table 5, dependent variables Incorrect Exemption)."
Major Reforms in Electricity Pricing: Evidence from a Quasi-Experiment,First,49,1,No,1,"There are minor changes at the third decimal point in tables 4 and 5. There is also a minor discrepancy between the text and the code, though the values created are all the same as the original paper's estimates. "
Market Access and Quality Upgrading: Evidence from Four Field Experiments,First,50,1,Yes,0,Perfect Reproduction
Market-Based Monetary Policy Uncertainty,First,51,1,No,1,"There were multiple version issues with Matlab. Impossible to reproduce Figure 3, Table 4, and figures and tables for the C-D appendices using Matlab R2022a (other versions did not produce these errors)."
Market-Based Monetary Policy Uncertainty,Second,52,1,No,1,"hac command in MATLAB has been replaced in 2022. After changing command to modern name, the code ran perfectly."
Measuring the Welfare Effects of Pride and Shame,First,53,1,No,1,Two minor coding errors in the replication package
Mental Health Costs of Lockdowns: Evidence from Age-Specific Curfews in Turkey,First,54,1,No,1,"Very minor: one minor error in the survey questionnaire , where one question  in the SRQ-20 instrument was not included.after contacting authors, this was an error in the appendix.the question was in fact used. "
"Mortality, Temperature, and Public Health Provision: Evidence from Mexico",First,55,1,Yes,0,"The code ran perfectly. There was a minor coding error from the paper, however, where the original authors dropped February 29th during leap years."
Motivated Beliefs and Anticipation of Uncertainty Resolution,First,56,1,No,0,
Multinationals' Sales and Profit Shifting in Tax Havens,First,57,1,Yes,0,Perfect Reproduction
Multiracial Identity and Political Preferences,First,58,0,No,1,"replication challenges arising from changes in the statistical software R. We were unable to reproduce the authors’ results using either the current version of R, or the version that the authors indicate they used. The lack of reproducibility arose due to a change in the defaults used by base R when generating random numbers starting in version 3.6.0. They say they use version R 3.6.2, but they use a version before 3.6"
News Shocks under Financial Frictions,First,59,0,No,1,"The DSGE model was not reproduced even when following the original authors' README instructions, including trying the correct version of MATLAB and Dynare."
"Non-Linearities, State-Dependent Prices and the Transmission Mechanism of Monetary Policy",First,60,1,Yes,0,Able to perfom reproduction of Figures 1 and 4 from original text. Interdependancy between routines makes it difficult for a replication exercise.
Not All Elections Are Created Equal: Election Quality and Civil Conflict,First,61,1,Yes,0,Perfect Reproduction
Parties as Disciplinarians: Charisma and Commitment Problems in Programmatic Campaigning,First,62,1,Yes,0,Replicators re-do analysis in a different programming language but found no substantial coding errors.
"Patience, Risk-Taking, and Human Capital Investment Across Countries",First,63,1,No,1,Discrepencies between programming and writing in paper
Peer Effects in Academic Research: Senders and Receivers,First,64,1,Yes,0,Perfect Reproduction
Playing Politics with Environmental Protection: The Political Economy of Designating Protected Areas,First,65,1,No,0,
Policy Deliberation and Voter Persuasion: Experimental Evidence from an Election in the Philippines,First,66,1,No,1,Had to download archived versions of software which had been removed from CRAN
"Political Turnover, Bureaucratic Turnover, and the Quality of Public Services",First,67,1,No,0,"The replicator wrote their own codes but used the raw data. Replicator was able to exactly reproduce some estimates from the original paper. There were, however, some discrepancies with the numbers of observations and methods stated."
Pre-Colonial Warfare and Long-Run Development in India,First,68,1,Yes,0,Perfect Reproduction
Public Infrastructure and Economic Development: Evidence from Postal Systems,First,69,1,Yes,,"Of note, RGMC state for this robustness test that “We re-estimated our benchmark models focusing only on counties in states in which no county borders underwent changes between 1896 and 2000, which includes 13 states” (Rogowski et al. 2022, p12 f.). Our understanding of this sentence is that they re-run the analysis including only states where no county border has changed. Yet, from their code it seems they include states in which at least one county has a stable border over time. This analysis has obviously very different implications. We therefore follow the description in the paper and include only states with stable borders for all counties, which applies to seven states in the data"
Re-Assessing Elite-Public Gaps in Political Behavior,First,70,1,Yes,0,"Computationally reproduced by Odum Institute for Research in Social Science at the University of North Carolina at Chapel Hill. Note by Replicators: Kertzer differs from other replications for two reasons. First, it is a meta-analysis, and so all the meta estimates are precisely estimated and statistically significant. Therefore the magnitude and the percent significant are the quantities of interest. Second, the main claim in Kertzer was a small meta-effect size and a low percent significant, so finding a larger effect size and higher percent significant would be consistent with a failure to replicate."
"Rebel on the Canal: Disrupted Trade Access and Social Conflict in China, 1650–1911",First,71,1,No,1,"One coefficient is different at the 3rd digit, and Figure A.5 could not be reproduced due to technical difficulty"
"Recessions, Mortality, and Migration Bias: Evidence from the Lancashire Cotton Famine",First,72,1,No,1,"One very minor error: The only error I could spot is in Table 1 (p. 245): the minimum mortality rate in 1851 is 0.569, and not 0.513, as printed in the paper."
Reshaping Adolescents' Gender Attitudes: Evidence from a School-Based Experiment in India,First,73,1,No,1,"Minor coding error: some discrepancies in the code compared to what was specified in the article, but these discrepancies did not materially affect the results. One incorrect coeffcient estimates in original authors' table 13, column 1 and one incorrect P-value in table 13, column 4."
Run-off Elections in the Laboratory,First,74,1,No,1,"Original authors did not provide the script to clean the raw data. Moreover, the original authors had to be contacted for the complete replication package (replicators could not find the data)."
School Spending and Student Outcomes: Evidence from Revenue Limit Elections in Wisconsin,First,75,1,Yes,0,0
Social Class and (Un)Ethical Behaviour: Causal and Correlational Evidence,First,76,1,No,1,"Major coding error: In reproducing the summary tables, some minor differences that are believed to be attributable to rounding errors, some examples of mislabeling and some changes in coefficients. Nevertheless, the results stay qualitatively the same and the error appears to be unintentional. A larger issue appeared with colums 2 and 4 of the replication of Table 5 and Table 8 in the paper (here Table 3 and Table 5 respectively). This is due to the way the authors do not differentiate between continuous and categorical variables in their regressions. Specifically, they treat categorical variables as continuous variables (see Section 4 for details). However, this changes the coefficients of all coefficients in these estimation models. Some of the coefficients even change (in some cases decrease) their level of significance. Nevertheless, the results stay qualitatively the same and the error appears to be unintentional."
Sorting or Steering: The Effects of Housing Discrimination on Neighborhood Choice,First,77,0,No,1,"Two coding errors: one which does not clean city names leading to too many fixed effects in their main specification, another which incorrectly codes their discrimination variable."
Spillover Effects of Intellectual Property Protection in the Interwar Aircraft Industry,First,78,1,Yes,0,Use R instead of Stata to recode same data
State Action to Prevent Violence Against Women: The Effect of Women's Police Stations on Men's Attitudes toward Gender-based Violence,First,79,1,No,1,One minor coding error and three estimates that are reported with opposite signs; neither is of consequence for the study’s main results.
"Student Performance, Peer Effects, and Friend Networks: Evidence from a Randomized Peer Intervention",First,80,1,No,1,"Miscoding of 6 out of 120 variables for the 'Big Five' personality traits. Once coded to missing, the general results are robust, but summary statistics show difference in means on personality traits"
Talking Shops: The Effects of Caucus Discussion on Policy Coalitions,First,81,1,Yes,0,Perfect Reproduction
Targeting High Ability Entrepreneurs Using Community Information: Mechanism Design in the Field,First,82,1,No,1,"One minor coding error which affects the estimates, but not conclusions"
Teaching Norms: Direct Evidence of Parental Transmission,First,83,1,Yes,0,Perfect Reproduction
Technological Change and the Consequences of Job Loss,First,84,1,Yes,0,Perfect Reproduction
The Common-Probability Auction Puzzle,First,85,1,Yes,0,Perfect Reproduction
The Curious Case of Theresa May and the Public That Did Not Rally: Gendered Reactions to Terrorist Attacks Can Cause Slumps Not Bumps,First,86,0,No,1,"Multiple coding errors: First, the dependent variable in column (2) of HMZ’s Table 2 is coded as one (preferring May as best PM) for observations in which participants did not select May: 35,060 of the 97,155 observations come from survey Waves 7 and 8 in which the survey question referred to then-Prime Minister David Cameron. Second, HMZ state that regression to be a logistic regression – however, the implemented Stata command is xtreg, which conducts generalized least squares regressions on panel datasets. We correct both errors, first independently and then jointly, before re-estimating the affected regression. Results remain statistically robust (p < 0.001 in all cases), i.e., our robustness exercises confirm that May’s approval ratings indeed suffered a slump after the Manchester attack. Full results are referred to Table B1. Also other coding errors in election quarter variables: For example, no elections had been coded for the US, while Japanese elections were only coded for one house of the National Diet (Japan’s bicameral parliament). In addition, run-off elections and multiple-round elections that spanned several quarters were sometimes coded for only one quarter, although HMZ’s coding does not systematically always capture the first or second election. Finally, we identified coding inaccuracies that did not seem to follow a systematic pattern with Austria 2016q4, Ecuador 1997q4, Iceland 2008q2 and 2012q2, Mexico 1991q3, Paraguay 2000q3, and Turkey 2014q3.  Beyond the coding errors pertaining to election quarters, we identified three sampling errors that turned out to be inconsequential to our conclusions. First, the woman executive variable had 376 missing observations. We reconstruct that variable from publicly available data and further identify coding errors in observations that did not have missing values. Due to the use of time period t + 1 in the approval variable, and to stay as consistent with HMZ as possible, we define the variable by any quarter in which a woman held the office of head of government or state for at least 15 days in the corresponding quarter. In total, we adjust 612 observations. Second, HMZ’s database features duplicate observations for Macedonia from 2006q2 to 2016q2. Third, HMZ access the GTD for data on international terrorist attacks throughout their sample period. However, the GTD does not feature any data for 1993, as that information was lost in an office move (LaFree and Dugan, 2007; START, 2022). HMZ mechanically code all terrorist attack observations in 1993 with a zero."
The Dynamics and Spillovers of Management Interventions: Evidence from the Training within Industry Program,First,87,0,No,1,"Stata version needed to be changed; Packages needed to be downloaded; Old packages needed to be downloaded to perfectly reproduce values; Missing Code; Missing Data; Transcription errors (rounding); Different Results found in Table A9, C. "
The Economic Effects of Long-Term Climate Change: Evidence from the Little Ice Age,First,88,1,Yes,0,Perfect Reproduction
The Effects of Banking Competition on Growth and Financial Stability: Evidence from the National Banking Era,First,89,1,No,1,Output relies on the execution order of a script. The replicators noticed a difference in the magnitudes of Table 9.
The Geography of Repression and Opposition to Autocracy,First,90,1,Yes,0,Perfect Reproduction
The Labor Market Impacts of Universal and Permanent Cash Transfers: Evidence from the Alaska Permanent Fund,First,91,0,No,1,"Two input datasets required to recreate the main datasets were missing from the replication package. The data was provided by the authors upon request. With these changes, we were able to reproduce the results of the paper. The stata code reproduced the coefficients exactly as in the original paper, in this row there are differences but there were some incorrect values in the tables of the paper. "
The Long-Run Effects of Sports Club Vouchers for Primary School Children,First,92,1,Yes,0,Perfect Reproduction
The Long-Term Effects of Measles Vaccination on Earnings and Employment,First,93,1,No,1,"We could successfully reproduce the results of all tables and figures based on the provided raw data and syntax files. There were only two minor issues. First, the Stata syntax files did not include the version command. This resulted in an error message for one of the syntax files. However, the README file provided the version used, so it was easy to fix. Second, there were some minor rounding/copying errors in the construction of the tables. The provided code reveals that individuals aged 25 and individuals aged 60 are not included."
The Macroeconomics of Sticky Prices with Generalized Hazard Functions,First,94,0,No,1,Programming edits and additional setups were needed before they could execute the programs provided. Bootstrapped standard errors were different from what was displayed in the paper online for select statistics. Could not reproduce figure 3 in original authors' paper. 
The Morning After: Cabinet Instability and the Purging of Ministers after Failed Coup Attempts in Autocracies,First,95,1,Yes,0,Perfect Reproduction
The Origin of the State: Land Productivity or Appropriability?,First,96,1,No,1,"These discrepancies are small and do not change the qualitative interpretation of the results. For one specification, one variable is included in the regression but not reported in the published table. For one specification, the F-statistic is different than the one reported. For one specification, one standard error was incorrectly reported. "
The Power of Hydroelectric Dams: Historical Evidence from the United States over the Twentieth Century,First,97,1,Yes,0,"The reproduction appears perfect, up to the third decimal place, which the replicators attribute to differences in versions."
The Relative Efficiency of Skilled Labor across Countries: Measurement and Interpretation,First,98,1,No,1,"data from IPUMS International was omitted from the replication package and had to be downloaded. There was no indication of which variables to be downloaded. Additionally, had to install grc1leg2 package where originally the package necessary was grc1leg."
The Side Effects of Immunity: Malaria and African Slavery in the United States,First,99,1,No,1,Minor coding error. Author manually inputted the 90th percentile.
"The Wheels of Change: Technology Adoption, Millwrights and the Persistence in Britain's Industrialisation",First,100,1,Yes,0,"""We were able to replicate the outcomes presented in the paper using data and code shared by the authors"""
Understanding Ethnolinguistic Differences: The Roles of Geography and Trade,First,101,1,Yes,0,Perfect direct replication and high correlation with reconstructed variables
Vulnerability and Clientelism,First,102,1,Yes,0,"No coding error, issues with age variable."
Wage Cyclicality and Labor Market Sorting,First,103,1,Yes,0,Perfect Reproduction
"War, Socialism, and the Rise of Fascism: an Empirical Exploration",First,104,1,Yes,0,Perfect Reproduction
What Makes Anticorruption Punishment Popular? Individual-Level Evidence from China,First,105,1,Yes,0,Perfect Reproduction
When a Doctor Falls from the Sky: The Impact of Easing Doctor Supply Constraints on Mortality,First,106,1,Yes,0,Perfect Reproduction
Who Chooses Commitment? Evidence and Welfare Implications,First,107,1,Yes,0,Perfect Reproduction
Who Sells During a Crash? Evidence from Tax Return Data on Daily Sales of Stock,First,108,1,No,1,Replicators recoded their analysis in Python while the original study used Stata. Differences are likely due to differences in softwares/packages.
Why Don't Firms Hire Young Workers During Recessions?,First,109,1,Yes,0,Journal checked that this is computationally reproducible. This is primarily a direct replication: the replicators use better data (harmonized CPS variables compared to original authors' non-harmonized) and uses new algorithms to construct longitudinal households which likely perform better (but reduce the number of observations).
"Yellow Vests, Pessimistic Beliefs, and Carbon Tax Aversion",First,110,0,No,1,Coding error: treatment classification was incorrect 7% (56/3002). Replicators had to omit some covariates as they were missing observations and were unable to reproduce the exact sample. Replicators recoded Analysis (not cleaning data) from scratch. 
